BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Elite Real Estate Group 1 Llc;House for sale;465000;2;2.0;988.0;659 Wilcox Ave;Bronx, NY 10465;659 Wilcox AveBronx, NY 10465;United States;New York;Bronx County;The Bronx;Wilcox Avenue;659 Wilcox Ave, Bronx, NY 10465, USA;40.8285177;-73.8155198
Brokered by Wonica REALTORS & Appraisers;Contingent;869900;4;2.0;2280.0;25 Copley St;Staten Island, NY 10314;25 Copley StStaten Island, NY 10314;United States;;Richmond County;Staten Island;Copley Street;25 Copley St, Staten Island, NY 10314, USA;40.5873346;-74.1553517
Brokered by BESMATCH REAL ESTATE;Multi-family home for sale;699000;3;;2034.0;2728 Hone Ave;Bronx, NY 10469;2728 Hone AveBronx, NY 10469;United States;New York;Bronx County;The Bronx;Hone Avenue;2728 Hone Ave, Bronx, NY 10469, USA;40.8665092;-73.8574012
Brokered by Ditommaso Real Estate;House for sale;799000;3;2.0;864.0;310 Montreal Ave;Staten Island, NY 10306;310 Montreal AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Montreal Avenue;310 Montreal Ave, Staten Island, NY 10306, USA;40.5593089;-74.1264964
Brokered by Great Riches Realty;Condo for sale;290000;1;1.0;2184.207862;65-50 Wetherole St Unit Lv;Rego Park, NY 11374;65-50 Wetherole St Unit LvRego Park, NY 11374;United States;New York;Queens County;Queens;Wetherole Street;65-50 Wetherole St, Flushing, NY 11374, USA;40.7255887;-73.8589005
Brokered by Keller Williams Realty Group;House for sale;575000;5;3.0;2076.0;627 E 236th St;Bronx, NY 10466;627 E 236th StBronx, NY 10466;United States;New York;Bronx County;The Bronx;East 236th Street;627 E 236th St, Bronx, NY 10466, USA;40.8965002;-73.8585406
Brokered by Great Riches Realty;Condo for sale;290000;1;1.0;2184.207862;65-50 Wetherole St Unit Lv;Rego Park, NY 11374;65-50 Wetherole St Unit LvRego Park, NY 11374;United States;New York;Queens County;Queens;Wetherole Street;65-50 Wetherole St, Flushing, NY 11374, USA;40.7255887;-73.8589005
Brokered by Blue Sky Realty Group LLC;Pending;500000;5;3.0;2472.0;1158 54th St;Brooklyn, NY 11219;1158 54th StBrooklyn, NY 11219;United States;New York;Kings County;Brooklyn;54th Street;1158 54th St, Brooklyn, NY 11219, USA;40.6339137;-73.9982004
Brokered by Diamond Real Inc;House for sale;2750000;3;5.0;4600.0;2317 E 63rd St;Brooklyn, NY 11234;2317 E 63rd StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 63rd Street;2317 E 63rd St, Brooklyn, NY 11234, USA;40.6126355;-73.909459
Brokered by Keller Williams NYC;Condo for sale;495000;2;1.0;766.0;69 Bennett Ave Apt 509;New York, NY 10033;69 Bennett Ave Apt 509New York, NY 10033;New York;New York County;New York;Manhattan;69;69 Bennett Ave Apt 509, New York, NY 10033, USA;40.8525968;-73.9352912
Brokered by Pemberley Estates Inc.;Multi-family home for sale;1199000;4;4.0;2279.0;158 Cloverdale Ave;Staten Island, NY 10308;158 Cloverdale AveStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Cloverdale Avenue;158 Cloverdale Ave, Staten Island, NY 10308, USA;40.545515;-74.156447
Brokered by Brown Harris Stevens- 3531 Johnson Avenue;Co-op for sale;605000;3;2.0;1500.0;2575 Palisade Ave Apt 1L;Bronx, NY 10463;2575 Palisade Ave Apt 1LBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;2575;2575 Palisade Ave #1l, Bronx, NY 10463, USA;40.8818819;-73.921791
Brokered by COMPASS;Co-op for sale;550000;2;1.0;2184.207862;611 41st St Apt L;Brooklyn, NY 11232;611 41st St Apt LBrooklyn, NY 11232;United States;New York;Kings County;Brooklyn;41st Street;611 41st St, Brooklyn, NY 11232, USA;;
Brokered by Direct Access Real Estate Inc;House for sale;768000;3;2.0;1065.0;32-50 204th St;Bayside, NY 11361;32-50 204th StBayside, NY 11361;United States;New York;Queens County;Queens;204th Street;32-50 204th St, Flushing, NY 11361, USA;40.7693375;-73.7854318
Brokered by Sotheby's International Realty - Downtown Manhattan;Condo for sale;2099000;3;2.0;1711.0;100 Jay St Apt 16A;Brooklyn, NY 11201;100 Jay St Apt 16ABrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;100;100 Jay St #16a, Brooklyn, NY 11201, USA;40.7019735;-73.9869044
Brokered by RE MAX City Square;Co-op for sale;575000;3;2.0;1480.0;3903 Nostrand Ave Apt 5P;Brooklyn, NY 11235;3903 Nostrand Ave Apt 5PBrooklyn, NY 11235;New York;;Brooklyn;Sheepshead Bay;3903;3903 Nostrand Ave. #5p, Brooklyn, NY 11235, USA;40.5886056;-73.9394034
Brokered by Exp Realty;House for sale;639000;3;2.0;1224.0;2919 Greene Pl;Bronx, NY 10465;2919 Greene PlBronx, NY 10465;United States;New York;Bronx County;The Bronx;Greene Place;2919 Greene Pl, Bronx, NY 10465, USA;40.832149;-73.8265941
Brokered by The Agency;Co-op for sale;525000;3;1.0;2184.207862;180 W End Ave Apt 19P;New York, NY 10023;180 W End Ave Apt 19PNew York, NY 10023;New York;New York County;New York;Manhattan;180;180 West End Ave #19b, New York, NY 10023, USA;40.7774246;-73.98562
Brokered by RE MAX Edge;House for sale;850000;3;;2160.0;167 Mills Ave;Staten Island, NY 10305;167 Mills AveStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Mills Avenue;167 Mills Ave, Staten Island, NY 10305, USA;40.5931048;-74.0663488
Brokered by Exp Realty;Multi-family home for sale;674999;5;2.0;2600.0;1463 Longfellow Ave;Bronx, NY 10460;1463 Longfellow AveBronx, NY 10460;United States;New York;Bronx County;The Bronx;Longfellow Avenue;1463 Longfellow Ave, Bronx, NY 10460, USA;40.8315561;-73.8872273
Brokered by KUS Realty Premier Inc;Condo for sale;345000;1;1.0;2184.207862;172-31 Highland Ave Unit 2A;Jamaica, NY 11432;172-31 Highland Ave Unit 2AJamaica, NY 11432;New York;Queens County;Queens;Jamaica;172-31;172-31 Highland Ave #2a, Jamaica, NY 11432, USA;40.7135571;-73.7901901
Brokered by Fillmore Real Estate;Multi-family home for sale;788888;5;2.0;3443.0;1125 E 57th St;Brooklyn, NY 11234;1125 E 57th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 57th Street;1125 E 57th St, Brooklyn, NY 11234, USA;40.6255174;-73.9205183
Brokered by Madison Estates Sotheby's International Realty;Co-op for sale;379000;2;2.0;1160.0;3215 Avenue H Apt 3P;Brooklyn, NY 11210;3215 Avenue H Apt 3PBrooklyn, NY 11210;New York;Kings County;Brooklyn;Little Haiti;3215;3215 Avenue H #3p, Brooklyn, NY 11210, USA;40.6320616;-73.9452586
Brokered by Douglas Elliman - 575 Madison Ave;Pending;1495000;1;1.0;814.0;9 Dekalb Ave Unit 55D;Brooklyn, NY 11201;9 Dekalb Ave Unit 55DBrooklyn, NY 11201;New York;Kings County;Brooklyn;Downtown Brooklyn;9;9 Dekalb Ave #55, Brooklyn, NY 11201, USA;40.6903851;-73.9825343
Brokered by RE MAX Real Estate Professionals;Pending;2288000;4;3.0;1788.0;1024 82nd St;Brooklyn, NY 11228;1024 82nd StBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;82nd Street;1024 82nd St, Brooklyn, NY 11228, USA;40.6197363;-74.0177331
Brokered by Charles Rutenberg Realty Inc;Multi-family home for sale;699000;4;2.0;2184.207862;85-30 101st St;Richmond Hill, NY 11418;85-30 101st StRichmond Hill, NY 11418;United States;New York;Queens County;Queens;101st Street;85-30 101st St, Jamaica, NY 11418, USA;40.6963847;-73.8472713
Brokered by Fave Realty Inc;Co-op for sale;250000;1;1.0;900.0;3017 Riverdale Ave Apt 1F;Bronx, NY 10463;3017 Riverdale Ave Apt 1FBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;3017;3017 Riverdale Ave #1f, Bronx, NY 10463, USA;40.880985;-73.9102329
Brokered by Scy Realty Team Corp;House for sale;1120000;3;2.0;2184.207862;263-07 57th Ave;Little Neck, NY 11362;263-07 57th AveLittle Neck, NY 11362;United States;New York;Queens County;Queens;57th Avenue;263-07 57th Ave., Flushing, NY 11362, USA;40.7639092;-73.7205952
Brokered by COMPASS;Townhouse for sale;25000000;7;;20000.0;11 Hubert St;Manhattan, NY 10013;11 Hubert StManhattan, NY 10013;United States;New York;New York County;New York;Hubert Street;11 Hubert St, New York, NY 10013, USA;40.7213288;-74.0092558
Brokered by E Realty International Corp;House for sale;858000;2;2.0;2184.207862;52-37 84th St;Elmhurst, NY 11373;52-37 84th StElmhurst, NY 11373;United States;New York;Queens County;Queens;84th Street;52-37 84th St, Elmhurst, NY 11373, USA;40.7329998;-73.8824499
Brokered by Corcoran East Side;Co-op for sale;1275000;1;1.0;1000.0;521 W 47th St Apt 2B;New York, NY 10036;521 W 47th St Apt 2BNew York, NY 10036;New York;New York County;New York;Manhattan;521;521 W 47th St #2b, New York, NY 10036, USA;40.7635661;-73.9941366
Brokered by Ben Bay Realty Company of Staten Island LLC;House for sale;1070000;4;2.0;2192.0;146 Major Ave;Staten Island, NY 10305;146 Major AveStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Major Avenue;146 Major Ave, Staten Island, NY 10305, USA;40.5991039;-74.067279
Brokered by COMPASS;Townhouse for sale;4800000;10;4.0;5353.0;407 3rd St;Brooklyn, NY 11215;407 3rd StBrooklyn, NY 11215;United States;;Kings County;Brooklyn;3rd Street;407 3rd St., Brooklyn, NY 11215, USA;40.6722614;-73.9816141
Brokered by COMPASS;Townhouse for sale;14600000;6;;6630.0;122 W 73rd St;Manhattan, NY 10023;122 W 73rd StManhattan, NY 10023;United States;New York;New York County;New York;West 73rd Street;122 W 73rd St, New York, NY 10023, USA;40.7782059;-73.9790314
Brokered by COMPASS;Co-op for sale;895000;2;2.0;2184.207862;202 W 78th St Apt 2E;Manhattan, NY 10024;202 W 78th St Apt 2EManhattan, NY 10024;New York;New York County;New York;Manhattan;202;202 W 78th St #2a, New York, NY 10024, USA;40.7824047;-73.979261
Brokered by Keller Williams Realty NYC Grp;House for sale;1250000;6;3.0;2400.0;1316 Kearney Ave;Bronx, NY 10465;1316 Kearney AveBronx, NY 10465;United States;New York;Bronx County;The Bronx;Kearney Avenue;1316 Kearney Ave, Bronx, NY 10465, USA;40.8392843;-73.8243081
Brokered by Winzone Realty Inc;Multi-family home for sale;1788000;6;5.0;2184.207862;136-08 Elder Ave;Flushing, NY 11355;136-08 Elder AveFlushing, NY 11355;United States;New York;Queens County;Queens;Elder Avenue;136-8 Elder Ave, Flushing, NY 11355, USA;;
Brokered by Home Global Realty;Multi-family home for sale;799000;4;3.0;1344.0;8519 Glenwood Rd;Brooklyn, NY 11236;8519 Glenwood RdBrooklyn, NY 11236;United States;New York;Kings County;Brooklyn;Glenwood Road;8519 Glenwood Rd, Brooklyn, NY 11236, USA;40.6398093;-73.9109383
Brokered by Prime Realty;House for sale;879000;3;2.0;2184.207862;66-18 Gray St;Middle Village, NY 11379;66-18 Gray StMiddle Village, NY 11379;United States;New York;Queens County;Queens;Gray Street;66-18 Gray St, Flushing, NY 11379, USA;40.714999;-73.878128
Brokered by Robert Defalco Realty, Inc.;Multi-family home for sale;963000;4;4.0;2400.0;3 Craig Ave;Staten Island, NY 10307;3 Craig AveStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Craig Avenue;3 Craig Ave, Staten Island, NY 10307, USA;40.5168606;-74.2375349
Brokered by RE MAX Edge;Multi-family home for sale;998000;11;6.0;2184.207862;3724 Flatlands Ave;Brooklyn, NY 11234;3724 Flatlands AveBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Flatlands Avenue;3724 Flatlands Ave, Brooklyn, NY 11234, USA;40.6186409;-73.9389327
Brokered by The Agency;Co-op for sale;950000;2;1.0;1000.0;140 W End Ave Apt 7B;New York, NY 10023;140 W End Ave Apt 7BNew York, NY 10023;New York;New York County;New York;Manhattan;140;140 West End Ave #7b, New York, NY 10023, USA;40.7759205;-73.9861034
Brokered by Cross Country Realty;Condo for sale;410000;2;1.0;2184.207862;85 Elmwood Park Dr Apt 60;Staten Island, NY 10314;85 Elmwood Park Dr Apt 60Staten Island, NY 10314;New York;Richmond County;Staten Island;New Springville;85;85 Elmwood Park Dr APT 60, Staten Island, NY 10314, USA;40.5800127;-74.1614787
Brokered by Agency Real Estate Services Llc;Co-op for sale;269000;1;1.0;900.0;170-40 Highland Ave Unit 404;Jamaica, NY 11432;170-40 Highland Ave Unit 404Jamaica, NY 11432;New York;Queens County;Queens;Jamaica;17040;17040 Highland Ave Apt 404, Jamaica, NY 11432, USA;40.7125699;-73.79318
Brokered by Douglas Elliman  -111 Fifth Ave;House for sale;8500000;7;6.0;7000.0;19 Vestry St;New York, NY 10013;19 Vestry StNew York, NY 10013;United States;New York;New York County;New York;Vestry Street;19 Vestry St, New York, NY 10013, USA;40.7223906;-74.0075502
Brokered by EXIT REALTY FIRST CHOICE;Multi-family home for sale;1195000;11;6.0;2184.207862;2312 Beaumont Ave;Bronx, NY 10458;2312 Beaumont AveBronx, NY 10458;United States;New York;Bronx County;The Bronx;Beaumont Avenue;2312 Beaumont Ave, Bronx, NY 10458, USA;40.8526383;-73.8850533
Brokered by Garden Square Realty;Co-op for sale;550000;2;1.0;1069.0;4 Dartmouth St Apt 71;Forest Hills, NY 11375;4 Dartmouth St Apt 71Forest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;4;4 Dartmouth St Apt 71, Forest Hills, NY 11375, USA;40.7192373;-73.846265
Brokered by EXIT REALTY TOP PROPERTIES;Multi-family home for sale;2800000;16;16.0;10720.0;1570 66th St;Brooklyn, NY 11219;1570 66th StBrooklyn, NY 11219;United States;New York;Kings County;Brooklyn;66th Street;1570 66th St, Brooklyn, NY 11219, USA;40.6215159;-73.9961566
Brokered by East Point Realty LLC;Multi-family home for sale;940000;9;4.0;2184.207862;146-13 105th Ave;Jamaica, NY 11435;146-13 105th AveJamaica, NY 11435;United States;New York;Queens County;Queens;105th Avenue;146-13 105th Ave, Jamaica, NY 11435, USA;40.6946299;-73.8051802
Brokered by Landmark International R E Llc;House for sale;865000;3;3.0;2184.207862;50-39 61st St;Woodside, NY 11377;50-39 61st StWoodside, NY 11377;United States;New York;Queens County;Queens;61st Street;50-39 61st St, Flushing, NY 11377, USA;40.7359218;-73.9035224
Brokered by Coldwell Banker Warburg;Condo for sale;7995000;3;4.0;4412.0;45 E 30th St # B;New York, NY 10016;45 E 30th St # BNew York, NY 10016;United States;New York;New York County;New York;East 30th Street;45 E 30th St, New York, NY 10016, USA;40.7449246;-73.9836051
Brokered by Coldwell Banker Advantage;House for sale;690000;3;2.0;1284.0;112 Pearsall St;Staten Island, NY 10305;112 Pearsall StStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Pearsall Street;112 Pearsall St, Staten Island, NY 10305, USA;40.5884822;-74.0735337
Brokered by Sold By Bart R E Partners Inc;Co-op for sale;330000;3;1.0;2184.207862;83-20 98th St Unit 1U;Woodhaven, NY 11421;83-20 98th St Unit 1UWoodhaven, NY 11421;New York;Queens County;Queens;Woodhaven;83-20;83-20 98th St #1a, Woodhaven, NY 11421, USA;40.6994276;-73.8518226
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Townhouse for sale;8750000;7;8.0;5000.0;241 W 4th St;New York, NY 10014;241 W 4th StNew York, NY 10014;United States;New York;New York County;New York;West 4th Street;241 West 4th Street, New York, NY 10014, USA;40.7345979;-74.0029107
Brokered by Nyc Realty Brokers Llc;Co-op for sale;619000;2;2.0;1200.0;200 Corbin Pl Apt 5N;Brooklyn, NY 11235;200 Corbin Pl Apt 5NBrooklyn, NY 11235;New York;Kings County;Brooklyn;Brighton Beach;200;200 Corbin Pl #5n, Brooklyn, NY 11235, USA;40.5768871;-73.9542132
Brokered by Robert Defalco Realty, Inc.;House for sale;899000;3;1.0;1050.0;159 Lander Ave;Staten Island, NY 10314;159 Lander AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Lander Avenue;159 Lander Ave, Staten Island, NY 10314, USA;40.6141485;-74.1643422
Brokered by Elegran Real Estate And Development;House for sale;1175000;2;2.0;1144.0;4 78th St;Brooklyn, NY 11209;4 78th StBrooklyn, NY 11209;United States;;Kings County;Brooklyn;78th Street;4 78th St, Brooklyn, NY 11209, USA;40.6314389;-74.0378384
Brokered by RE MAX Real Estate Professionals;Multi-family home for sale;2999000;8;;6000.0;7923 12th Ave;Brooklyn, NY 11228;7923 12th AveBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;12th Avenue;7923 12th Ave, Brooklyn, NY 11228, USA;40.618804;-74.012196
Brokered by Corcoran West Side Gallery;Condo for sale;1395000;2;2.0;1793.0;253 W 73rd St Apt 4F;New York, NY 10023;253 W 73rd St Apt 4FNew York, NY 10023;New York;New York County;New York;Manhattan;253;253 W 73rd St #4f, New York, NY 10023, USA;40.780245;-73.9827963
Brokered by Brown Harris Stevens - 129 Montague Street;Co-op for sale;800000;2;2.0;2184.207862;3442 80th St Apt 32;Queens, NY 11372;3442 80th St Apt 32Queens, NY 11372;New York;Queens County;Queens;Jackson Heights;3442;3442 80th St Apt 32, Jackson Heights, NY 11372, USA;40.7535399;-73.8868899
Brokered by RE MAX Edge;Co-op for sale;499000;2;1.0;686.0;430 W 46th St Apt 5E;Manhattan, NY 10036;430 W 46th St Apt 5EManhattan, NY 10036;New York;New York County;New York;Manhattan;430;430 W 46th St #5a, New York, NY 10036, USA;40.7615546;-73.9923686
Brokered by Douglas Elliman - 575 Madison Ave;House for sale;1625000;4;4.0;2743.0;269 W 87th St Apt 7A;New York, NY 10024;269 W 87th St Apt 7ANew York, NY 10024;New York;New York County;New York;Manhattan;269;269 W 87th St #7a, New York, NY 10024, USA;40.7895034;-73.9769713
Brokered by Skylight Real Estate Consultan;House for sale;799999;3;3.0;1444.0;106-10 217th St;Jamaica, NY 11429;106-10 217th StJamaica, NY 11429;United States;New York;Queens County;Queens;217th Street;106-10 217th St, Jamaica, NY 11429, USA;40.7110987;-73.741186
Brokered by Better Homes and Gardens Real Estate Safari Realty;House for sale;1139000;4;4.0;3150.0;950 Huguenot Ave;Staten Island, NY 10312;950 Huguenot AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Huguenot Avenue;950 Huguenot Ave, Staten Island, NY 10312, USA;40.5308796;-74.1913113
Brokered by DEBTFREESOLUTIONS LLC;House for sale;529000;3;2.0;1650.0;401 Harding Park;Bronx, NY 10473;401 Harding ParkBronx, NY 10473;United States;New York;Bronx County;The Bronx;Harding Park;401 Harding Park, Bronx, NY 10473, USA;40.8061399;-73.8579944
Brokered by ROBERT DEFALCO REALTY INC;Co-op for sale;300000;3;1.0;1200.0;2741 E 28th St Apt 4D;Brooklyn, NY 11235;2741 E 28th St Apt 4DBrooklyn, NY 11235;New York;Kings County;Brooklyn;Sheepshead Bay;2741;2741 E 28th St #4d, Brooklyn, NY 11235, USA;40.5862693;-73.9407123
Brokered by RE MAX Edge;House for sale;799000;5;4.0;1802.0;8648 26th Ave;Brooklyn, NY 11214;8648 26th AveBrooklyn, NY 11214;11214;United States;New York;Kings County;26th Avenue;8648 26th Ave, Brooklyn, NY 11214, USA;40.5957485;-73.9862201
Brokered by Han Tang Realty Inc.;Multi-family home for sale;869000;6;3.0;1526.0;1032 Rhinelander Ave;Bronx, NY 10461;1032 Rhinelander AveBronx, NY 10461;United States;New York;Bronx County;The Bronx;Rhinelander Avenue;1032 Rhinelander Ave, Bronx, NY 10461, USA;40.8505252;-73.856443
Brokered by Today Realty Corp.;House for sale;749000;3;2.0;1480.0;1238 Pinchot Pl;Bronx, NY 10461;1238 Pinchot PlBronx, NY 10461;United States;New York;Bronx County;The Bronx;Pinchot Place;1238 Pinchot Pl, Bronx, NY 10461, USA;40.8534458;-73.8484651
Brokered by Re/Max In The City;Co-op for sale;240900;2;1.0;875.0;2390 Palisade Ave Apt 4K;Bronx, NY 10463;2390 Palisade Ave Apt 4KBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;2390;2390 Palisade Ave #4c, Bronx, NY 10463, USA;40.8797408;-73.9204193
Brokered by Winzone Realty Inc;House for sale;1295000;3;1.0;2184.207862;47-17 39th Ave;Sunnyside, NY 11104;47-17 39th AveSunnyside, NY 11104;United States;New York;Queens County;Queens;39th Avenue;47-17 39th Ave, Long Island City, NY 11104, USA;40.7493551;-73.9158547
Brokered by Ideal Properties Realty;Pending;3850000;8;6.0;6200.0;1121 E 22nd St;Brooklyn, NY 11210;1121 E 22nd StBrooklyn, NY 11210;United States;New York;Kings County;Brooklyn;East 22nd Street;1121 E 22nd St, Brooklyn, NY 11210, USA;40.62481;-73.9539607
Brokered by RE MAX Real Estate Professionals;House for sale;549000;5;2.0;1716.0;921 Nugent Ave;Staten Island, NY 10306;921 Nugent AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Nugent Avenue;921 Nugent Ave, Staten Island, NY 10306, USA;40.5721728;-74.0972787
Brokered by Houlihan Lawrence;Co-op for sale;129000;1;1.0;750.0;4315 Webster Ave Apt 3J;Bronx, NY 10470;4315 Webster Ave Apt 3JBronx, NY 10470;New York;Bronx County;The Bronx;East Bronx;4315;4315 Webster Ave #3j, Bronx, NY 10470, USA;40.8995193;-73.8623678
Brokered by Homes R Us Realty of NY, Inc.;House for sale;475000;3;2.0;900.0;131 Roff St;Staten Island, NY 10304;131 Roff StStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Roff Street;131 Roff St, Staten Island, NY 10304, USA;40.6158816;-74.0822185
Brokered by Century 21 Realty First;Multi-family home for sale;980000;4;3.0;1408.0;1957 Ryder St;Brooklyn, NY 11234;1957 Ryder StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Ryder Street;1957 Ryder St, Brooklyn, NY 11234, USA;40.611841;-73.92961
Brokered by RE MAX Edge;Multi-family home for sale;1199000;4;2.0;1824.0;1511 85th St;Brooklyn, NY 11228;1511 85th StBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;85th Street;1511 85th St, Brooklyn, NY 11228, USA;40.6119254;-74.0084031
Brokered by Keller Williams Legendary;Townhouse for sale;1299999;5;5.0;3134.0;64-14 Beach Front Rd;Arverne, NY 11692;64-14 Beach Front RdArverne, NY 11692;United States;New York;Queens County;Queens;Beach Front Road;6414 Beach Front Rd, Far Rockaway, NY 11692, USA;40.5883339;-73.7934039
Brokered by RE MAX Distinguished Homes & Properties;Co-op for sale;265000;2;1.0;1100.0;1750 E 14th St Apt L4;Brooklyn, NY 11229;1750 E 14th St Apt L4Brooklyn, NY 11229;New York;Kings County;Brooklyn;Homecrest;1750;1750 E 14th St Apt 4e, Brooklyn, NY 11229, USA;40.6068092;-73.9590334
Brokered by Keller Williams NYC;Co-op for sale;262500;1;1.0;2184.207862;750 Kappock St Apt 502;Bronx, NY 10463;750 Kappock St Apt 502Bronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;750;750 Kappock St Apt 502, Bronx, NY 10463, USA;40.8819467;-73.9200169
Brokered by Robert Defalco Realty, Inc.;House for sale;2699000;7;6.0;11250.0;100 Wadsworth Rd;Staten Island, NY 10305;100 Wadsworth RdStaten Island, NY 10305;United States;;Richmond County;Staten Island;Wadsworth Road;100 Wadsworth Rd, Staten Island, NY 10305, USA;40.6087694;-74.0597773
Brokered by Today Realty Corp.;House for sale;1200000;4;4.0;3300.0;2217 Gunther Ave;Bronx, NY 10469;2217 Gunther AveBronx, NY 10469;United States;;Bronx County;The Bronx;Gunther Avenue;2217 Gunther Ave, Bronx, NY 10469, USA;40.8580056;-73.8365535
Brokered by COMPASS;Co-op for sale;850000;1;1.0;2184.207862;32 Downing St Apt 2D;Manhattan, NY 10014;32 Downing St Apt 2DManhattan, NY 10014;New York;New York County;New York;Manhattan;32;32 Downing St #2b, New York, NY 10014, USA;40.729293;-74.003447
Brokered by Robert Defalco Realty, Inc.;House for sale;2699000;7;6.0;11250.0;100 Wadsworth Rd;Staten Island, NY 10305;100 Wadsworth RdStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Wadsworth Road;100 Wadsworth Rd, Staten Island, NY 10305, USA;40.6087694;-74.0597773
Brokered by Encore Real Estate LLC;House for sale;989000;6;4.0;2720.0;153 Johnson Ave;Staten Island, NY 10307;153 Johnson AveStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Johnson Avenue;153 Johnson Ave, Staten Island, NY 10307, USA;40.5119454;-74.2470716
Brokered by Today Realty Corp.;House for sale;1200000;4;4.0;3300.0;2217 Gunther Ave;Bronx, NY 10469;2217 Gunther AveBronx, NY 10469;United States;New York;Bronx County;The Bronx;Gunther Avenue;2217 Gunther Ave, Bronx, NY 10469, USA;40.8580056;-73.8365535
Brokered by CENTURY 21 Galvez;Multi-family home for sale;899999;5;3.0;1800.0;263 W 254th St;Bronx, NY 10471;263 W 254th StBronx, NY 10471;United States;New York;Bronx County;The Bronx;West 254th Street;263 W 254th St, Bronx, NY 10471, USA;40.9016185;-73.8999396
Brokered by United Realty Associates;House for sale;2780000;5;6.0;3045.0;150-32 Sullivan Dr;Whitestone, NY 11357;150-32 Sullivan DrWhitestone, NY 11357;United States;New York;Queens County;Queens;Sullivan Drive;150-32 Sullivan Dr, Whitestone, NY 11357, USA;40.7967438;-73.8160751
Brokered by COMPASS;Co-op for sale;999000;2;1.0;1050.0;215 W 92nd St Apt 5F;Manhattan, NY 10025;215 W 92nd St Apt 5FManhattan, NY 10025;New York;New York County;New York;Manhattan;215;215 W 92nd St #5b, New York, NY 10025, USA;40.7921116;-73.9731768
Brokered by Our Community Realty Ltd;Multi-family home for sale;699000;6;2.0;2184.207862;1441 Troy Ave;Brooklyn, NY 11203;1441 Troy AveBrooklyn, NY 11203;United States;New York;Kings County;Brooklyn;Troy Avenue;1441 Troy Ave, Brooklyn, NY 11203, USA;40.6373525;-73.9344092
Brokered by COMPASS;Condo for sale;60000;3;1.0;445.0;2 E 55th St Unit 809W35;Manhattan, NY 10022;2 E 55th St Unit 809W35Manhattan, NY 10022;New York;New York County;New York;Manhattan;2;2 E 55th St 809 35, New York, NY 10022, USA;40.7613979;-73.9746128
Brokered by Premier Homes Pros;House for sale;499999;4;2.0;1248.0;44 Montell St;Staten Island, NY 10302;44 Montell StStaten Island, NY 10302;United States;New York;Richmond County;Staten Island;Montell Street;44 Montell St, Staten Island, NY 10302, USA;40.6289462;-74.1388487
Brokered by Momentum Real Estate Llc;House for sale;599999;3;2.0;1272.0;67 Reynolds St;Staten Island, NY 10305;67 Reynolds StStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Reynolds Street;67 Reynolds St, Staten Island, NY 10305, USA;40.6111849;-74.0753235
Brokered by RE MAX Elite;House for sale;725000;4;2.0;2000.0;328 Manor Rd;Staten Island, NY 10314;328 Manor RdStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Manor Road;328 Manor Rd, Staten Island, NY 10314, USA;40.6199521;-74.1237895
Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC;House for sale;998888;3;2.0;1780.0;9954 Fort Hamilton Pkwy;Brooklyn, NY 11209;9954 Fort Hamilton PkwyBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;Fort Hamilton Parkway;9954 Fort Hamilton Pkwy, Brooklyn, NY 11209, USA;40.6117545;-74.0323281
